id,scale_id,raw_points,male_points,female_points
1,1,0 ,22 ,16
2,1,1 ,26 ,20
3,1,2 ,29 ,24
4,1,3 ,32 ,28
5,1,4 ,35 ,32
6,1,5 ,38 ,36
7,1,6 ,41 ,39
8,1,7 ,45 ,43
9,1,8 ,48 ,47
10,1,9 ,51 ,51
11,1,10 ,54 ,55
12,1,11 ,57 ,59
13,1,12 ,60 ,63
14,1,13 ,63 ,67
15,1,14 ,67 ,71
16,1,15 ,70 ,75
17,1,16 ,73 ,78
18,1,17 ,76 ,82
19,1,18 ,79 ,86
20,2,0 ,24 ,21
21,2,1 ,27 ,24
22,2,2 ,30 ,28
23,2,3 ,33 ,31
24,2,4 ,37 ,34
25,2,5 ,40 ,38
26,2,6 ,43 ,41
27,2,7 ,46 ,45
28,2,8 ,49 ,48
29,2,9 ,52 ,51
30,2,10 ,56 ,55
31,2,11 ,59 ,58
32,2,12 ,62 ,61
33,2,13 ,65 ,65
34,2,14 ,68 ,68
35,2,15 ,71 ,72
36,2,16 ,75 ,75
37,2,17 ,78 ,78
38,2,18 ,81 ,82
39,3,0 ,7 ,4
40,3,1 ,10 ,8
41,3,2 ,13 ,11
42,3,3 ,16 ,15
43,3,4 ,19 ,18
44,3,5 ,22 ,21
45,3,6 ,25 ,25
46,3,7 ,28 ,28
47,3,8 ,31 ,32
48,3,9 ,34 ,35
49,3,10 ,37 ,38
50,3,11 ,41 ,42
51,3,12 ,44 ,45
52,3,13 ,47 ,49
53,3,14 ,50 ,52
54,3,15 ,53 ,55
55,3,16 ,56 ,59
56,3,17 ,59 ,62
57,3,18 ,62 ,66
58,3,19 ,65 ,69
59,3,20 ,68 ,72
60,3,21 ,71 ,76
61,4,0 ,18 ,15
62,4,1 ,21 ,19
63,4,2 ,24 ,22
64,4,3 ,27 ,25
65,4,4 ,30 ,28
66,4,5 ,33 ,31
67,4,6 ,36 ,34
68,4,7 ,39 ,37
69,4,8 ,42 ,40
70,4,9 ,45 ,43
71,4,10 ,48 ,46
72,4,11 ,51 ,49
73,4,12 ,54 ,52
74,4,13 ,57 ,55
75,4,14 ,60 ,58
76,4,15 ,63 ,62
77,4,16 ,66 ,65
78,4,17 ,69 ,68
79,4,18 ,72 ,71
80,5,0 ,20 ,17
81,5,1 ,24 ,21
82,5,2 ,28 ,25
83,5,3 ,31 ,30
84,5,4 ,35 ,34
85,5,5 ,39 ,39
86,5,6 ,43 ,43
87,5,7 ,47 ,47
88,5,8 ,51 ,52
89,5,9 ,55 ,56
90,5,10 ,59 ,61
91,5,11 ,63 ,65
92,5,12 ,67 ,60
93,6,0 ,27 ,21
94,6,1 ,29 ,24
95,6,2 ,31 ,26
96,6,3 ,35 ,29
97,6,4 ,36 ,31
98,6,5 ,38 ,34
99,6,6 ,40 ,37
100,6,7 ,43 ,39
101,6,8 ,45 ,42
102,6,9 ,47 ,45
103,6,10 ,49 ,47
104,6,11 ,52 ,50
105,6,12 ,54 ,53
106,6,13 ,56 ,55
107,6,14 ,58 ,58
108,6,15 ,61 ,61
109,6,16 ,63 ,63
110,6,17 ,65 ,66
111,6,18 ,67 ,68
112,6,19 ,69 ,71
113,6,20 ,72 ,74
114,6,21 ,74 ,76
115,6,22 ,76 ,79
116,6,23 ,78 ,82
117,6,24 ,81 ,84
118,7,0 ,11 ,13
119,7,1 ,14 ,16
120,7,2 ,17 ,19
121,7,3 ,20 ,22
122,7,4 ,24 ,25
123,7,5 ,27 ,28
124,7,6 ,30 ,32
125,7,7 ,33 ,35
126,7,8 ,37 ,38
127,7,9 ,40 ,41
128,7,10 ,43 ,44
129,7,11 ,46 ,47
130,7,12 ,49 ,50
131,7,13 ,53 ,53
132,7,14 ,56 ,57
133,7,15 ,59 ,60
134,7,16 ,62 ,63
135,7,17 ,66 ,66
136,7,18 ,69 ,69
137,8,0 ,18 ,18
138,8,1 ,21 ,21
139,8,2 ,24 ,24
140,8,3 ,26 ,26
141,8,4 ,29 ,29
142,8,5 ,32 ,32
143,8,6 ,34 ,34
144,8,7 ,37 ,37
145,8,8 ,40 ,40
146,8,9 ,42 ,42
147,8,10 ,45 ,45
148,8,11 ,48 ,48
149,8,12 ,51 ,50
150,8,13 ,53 ,53
151,8,14 ,56 ,56
152,8,15 ,59 ,58
153,8,16 ,61 ,61
154,8,17 ,64 ,64
155,8,18 ,67 ,66
156,8,19 ,69 ,69
157,8,20 ,72 ,72
158,8,21 ,75 ,74
